Date,Close/Last,Volume,Open,High,Low
10/03/2023,$172.40,49594610,$172.255,$173.63,$170.82
10/02/2023,$173.75,52164540,$171.22,$174.30,$170.93
09/29/2023,$171.21,51861080,$172.02,$173.07,$170.341
09/28/2023,$170.69,56294420,$169.34,$172.03,$167.62
09/27/2023,$170.43,66921810,$172.62,$173.04,$169.05
09/26/2023,$171.96,64588950,$174.82,$175.20,$171.66
09/25/2023,$176.08,46172740,$174.20,$176.97,$174.15
09/22/2023,$174.79,56725390,$174.67,$177.079,$174.05
09/21/2023,$173.93,63149120,$174.55,$176.30,$173.86
09/20/2023,$175.49,58436180,$179.26,$179.695,$175.40
09/19/2023,$179.07,51826940,$177.52,$179.63,$177.13
09/18/2023,$177.97,67257570,$176.48,$179.38,$176.17
09/15/2023,$175.01,109259500,$176.48,$176.495,$173.82
09/14/2023,$175.74,60895760,$174.00,$176.10,$173.58
09/13/2023,$174.21,84267930,$176.51,$177.30,$173.98
09/12/2023,$176.30,90370190,$179.49,$180.13,$174.82
09/11/2023,$179.36,58953050,$180.07,$180.30,$177.34
09/08/2023,$178.18,65602070,$178.35,$180.239,$177.79
09/07/2023,$177.56,112488800,$175.18,$178.21,$173.54
09/06/2023,$182.91,81755820,$188.40,$188.85,$181.47
09/05/2023,$189.70,45280030,$188.28,$189.98,$187.61
