Open,High,Low,Close,Volume
37.48,37.58,37.03,37.18,79383680
37.47,37.56,37.3,37.38,68854600
38.44,38.5,36.83,37.64,129905360
38.34,38.48,38.27,38.37,63123800
37.95,38.46,37.95,38.19,75415720
37.65,38.11,37.48,38.02,85972640
37.5,37.61,37.22,37.57,105010524
37.88,37.94,37.55,37.59,68975000
37.62,37.86,37.49,37.76,83691884
37.3,37.53,37.17,37.52,71475156
37.21,37.73,37.14,37.39,95173844
36.99,37.33,36.83,37.26,80528244
36.38,37.12,36.36,36.94,100797476
36.47,36.55,36.21,36.44,99537920
36.18,36.46,36.1,36.38,79127360
36.03,36.49,35.84,36.27,84362564
35.73,36.19,35.73,36.05,76806844
35.76,35.88,35.6,35.68,96515116
35.92,36.2,35.68,36.02,86278244
36.22,36.33,35.78,35.88,57111400
36.11,36.24,35.95,36.01,92096436
36.18,36.28,35.57,35.92,125997476
36.12,36.53,35.79,36.46,88329720
36.25,36.54,35.91,35.93,99047564
36.79,37.07,36.35,36.46,102769436
36.28,36.79,36.28,36.57,141757564
36.44,36.68,36.28,36.41,76425156
36.38,36.52,36.15,36.47,85063000
36.72,36.72,36.24,36.25,99600280
35.92,36.69,35.92,36.59,130165600
35.95,36.13,35.55,35.57,201444360
35.83,36.12,35.55,36.07,128661476
36.88,36.88,35.96,36.29,126124920
36.79,36.86,36.29,36.65,136661796
36.44,36.52,35.63,36.36,289229312
38.8,38.8,36.51,37.25,259530640
38.81,38.89,38.6,38.75,85003204
38.76,39,38.62,38.84,84278600
38.48,38.95,38.45,38.61,106499720
38.59,38.61,38.37,38.48,101326640
38.4,38.86,38.22,38.86,111082884
38.29,38.33,38.06,38.3,65616360
38.49,38.54,38.1,38.19,97804640
38.36,38.61,38.33,38.42,80507400
38.5,38.56,38.33,38.4,87710564
38.43,38.59,38.26,38.47,76942400
38.46,38.54,38.17,38.34,76876600
38.73,38.73,38.33,38.45,79675476
38.5,38.65,38.23,38.5,91865756
38.35,38.5,38.16,38.27,107843156
37.82,38.34,37.78,38.14,134272876
38.4,38.64,37.43,37.56,203070720
38.99,39.02,38.68,38.87,80193920
39,39.16,38.76,38.93,104038884
38.68,39.11,38.67,39.03,130108080
38.11,38.52,38.08,38.49,109020244
38.41,38.49,38.03,38.32,103222756
38.47,38.72,38.36,38.5,156521436
37.26,38.43,37.26,38.25,195009624
36.69,37.25,36.69,37.24,109310920
36.63,36.79,36.45,36.63,93487476
36.4,36.87,36.07,36.77,182788124
36.89,37.02,36.71,36.88,181408764
36.28,36.8,36.24,36.65,134411764
36.02,36.08,35.82,35.91,83441436
35.98,36.04,35.83,35.95,56985400
36.12,36.15,35.84,35.92,80164960
35.98,36.23,35.97,36.13,75486000
35.88,35.99,35.8,35.91,68537320
35.61,35.67,35.46,35.57,69283720
35.31,35.73,35.29,35.61,93278244
35.47,35.5,35.11,35.17,69313524
35.35,35.51,35.28,35.3,58790160
35.37,35.47,35.22,35.46,66328360
35.48,35.6,35.26,35.26,71291524
35.4,35.54,35.25,35.45,81400000
35.74,35.84,35.02,35.41,121517524
35.9,35.97,35.73,35.79,75733600
35.93,36.05,35.82,35.84,66688796
36.07,36.13,35.86,35.92,84596116
36.06,36.37,35.95,36.01,110871400
35.81,36.22,35.79,36.19,79565400
35.93,36.03,35.76,35.93,79942844
35.93,36.07,35.75,35.92,78646600
36.05,36.13,35.88,35.98,84829000
35.92,36.12,35.8,36.03,116759844
35.23,36.01,35.16,35.95,133499236
34.85,35.31,34.66,35.22,94300360
35.38,35.44,35.09,35.16,89582244
35.32,35.4,35.15,35.23,81385204
34.96,35.4,34.94,35.36,103440680
35.53,35.7,34.93,34.96,158119640
35.1,35.38,35.06,35.37,86168156
35.25,35.25,34.97,35,175539812
35.18,35.26,35.07,35.17,76928000
34.85,35.19,34.76,35.12,102767080
34.83,34.91,34.71,34.75,61236280
34.71,34.86,34.71,34.8,69686884
34.81,34.84,34.66,34.79,78451204
34.69,34.7,34.26,34.67,88623600
34.74,34.95,34.71,34.75,74828960
34.77,35,34.7,34.88,69785204
34.84,34.94,34.65,34.84,87000156
34.7,34.96,34.65,34.95,86284476
35,35.07,34.69,34.74,104843920
34.47,35.04,34.4,34.95,145658376
34.27,34.36,34.18,34.25,93931436
34.29,34.36,34.07,34.23,81029720
33.98,34.17,33.82,34.17,87106360
34.35,34.37,34.08,34.13,83152756
34.11,34.28,34.03,34.28,83347720
34.06,34.19,34,34.18,98028640
33.78,33.96,33.78,33.93,88792796
33.92,33.98,33.71,33.84,90338244
33.88,34.07,33.66,33.88,142492408
33.37,33.77,33.31,33.76,132904876
33.27,33.46,33.19,33.32,92141680
33.12,33.24,33.01,33.03,80261844
32.91,33.11,32.78,33.11,113399436
32.84,33.06,32.81,33.01,92016280
32.64,33.02,32.61,32.88,152735360
32.28,32.63,32.23,32.57,107383680
32.08,32.3,32.04,32.27,98029204
31.99,32.35,31.95,32.13,134841624
31.76,32.62,31.75,32.19,447940000
30.29,30.35,30.16,30.34,196803968
30.23,30.41,30.17,30.41,121510000
30.54,30.59,30.4,30.49,82251756
30.42,30.61,30.4,30.49,105350320
30.11,30.53,30.07,30.47,130346680
29.89,30.03,29.88,29.99,92844156
30,30.2,29.94,30.02,88200884
30.11,30.11,29.93,30,130391564
29.85,30.02,29.84,29.95,102389156
30,30.13,29.93,30,94851844
29.59,30.06,29.56,30,137759360
29.78,29.91,29.7,29.76,104447796
29.72,29.83,29.55,29.81,108344884
29.69,29.98,29.65,29.94,110354360
29.69,29.85,29.58,29.78,97848204
29.49,29.86,29.49,29.75,134247812
29.2,29.54,29.12,29.48,127007600
28.98,29.22,28.95,29.15,88774360
28.96,29.13,28.94,29.01,84472476
28.95,29.08,28.69,29.04,115127476
29.16,29.3,28.86,28.96,122345080
29.11,29.28,29.1,29.18,60158080
29.38,29.5,29.05,29.19,83623564
29.13,29.45,29.12,29.32,73187436
28.9,29.13,28.9,29.13,56997920
29.09,29.13,28.91,29.07,104343400
29.2,29.35,29.2,29.27,95132680
29.19,29.38,29.17,29.24,85699884
28.95,29.35,28.94,29.16,111117680
29.12,29.13,28.91,28.99,177404516
28.85,29.18,28.81,28.96,186098156
28.76,29.05,28.75,28.8,136127328
28.46,28.98,28.44,28.8,174935236
28.32,28.75,28.12,28.33,105497524
28.08,28.68,28.08,28.49,137610532
27.72,28.11,27.65,28.03,108273280
27.32,27.8,27.29,27.76,119994884
27.38,27.59,27.3,27.49,104781844
27.5,27.51,27.06,27.28,137298156
27.29,27.52,27.21,27.48,106112000
27.59,27.74,27.26,27.37,148347436
27.9,28.05,27.57,27.63,144648640
27.7,28.01,27.52,27.87,114115000
27.86,28.12,27.85,27.89,108775920
27.78,27.97,27.74,27.95,45903680
27.84,27.88,27.58,27.81,109705564
27.99,28.11,27.85,27.95,103862116
27.53,28,27.5,27.93,117058280
27.43,27.64,27.42,27.52,113715680
27.45,27.59,27.21,27.49,110528000
26.68,27.56,26.65,27.5,235362080
26.64,26.92,26.54,26.78,129058040
26.93,26.95,26.02,26.43,204702000
26.78,27.22,26.64,27.11,136575592
27.77,27.77,26.46,26.95,228538156
27.47,27.83,27.01,27.72,236705436
27.58,27.93,27.43,27.77,97016720
27.52,27.63,27.37,27.6,130240000
27.13,27.56,27.03,27.21,123348000
27.75,27.87,27.39,27.46,107730400
27.85,28.09,27.81,27.9,113326844
28.37,28.44,27.63,27.87,175303236
28.41,28.56,28.3,28.39,105677600
28.47,28.8,28.36,28.43,151446640
28.85,28.97,28.53,28.62,138248188
28.58,28.93,28.33,28.9,264536876
29.49,29.59,29.33,29.56,192515876
29.28,29.44,29.25,29.41,94154680
29.2,29.23,29.07,29.15,92770680
29.22,29.35,29.08,29.27,96503204
29.31,29.44,28.45,29.28,80138360
29.55,29.55,29.36,29.37,98213920
29.33,29.46,29.2,29.39,94499600
29.47,29.54,29.28,29.41,142608764
29.2,29.36,28.93,29.25,140769624
29.34,29.5,29.19,29.34,150347172
29.43,29.67,29.05,29.08,256164156
