Date,Open,High,Low,Close,Volume
07/28/2017,"37.47","37.56","37.30","37.38","68,854,600"
07/27/2017,"38.44","38.50","36.83","37.64","129,905,360"
07/26/2017,"38.34","38.48","38.27","38.37","63,123,800"
07/25/2017,"37.95","38.46","37.95","38.19","75,415,720"
07/24/2017,"37.65","38.11","37.48","38.02","85,972,640"
07/21/2017,"37.50","37.61","37.22","37.57","105,010,524"
07/20/2017,"37.88","37.94","37.55","37.59","68,975,000"
07/19/2017,"37.62","37.86","37.49","37.76","83,691,884"
07/18/2017,"37.30","37.53","37.17","37.52","71,475,156"
07/17/2017,"37.21","37.73","37.14","37.39","95,173,844"
07/14/2017,"36.99","37.33","36.83","37.26","80,528,244"
07/13/2017,"36.38","37.12","36.36","36.94","100,797,476"
07/12/2017,"36.47","36.55","36.21","36.44","99,537,920"
07/11/2017,"36.18","36.46","36.10","36.38","79,127,360"
07/10/2017,"36.03","36.49","35.84","36.27","84,362,564"
07/07/2017,"35.73","36.19","35.73","36.05","76,806,844"
07/06/2017,"35.76","35.88","35.60","35.68","96,515,116"
07/05/2017,"35.92","36.20","35.68","36.02","86,278,244"
07/03/2017,"36.22","36.33","35.78","35.88","57,111,400"
06/30/2017,"36.11","36.24","35.95","36.01","92,096,436"
06/29/2017,"36.18","36.28","35.57","35.92","125,997,476"
06/28/2017,"36.12","36.53","35.79","36.46","88,329,720"
06/27/2017,"36.25","36.54","35.91","35.93","99,047,564"
06/26/2017,"36.79","37.07","36.35","36.46","102,769,436"
06/23/2017,"36.28","36.79","36.28","36.57","141,757,564"
06/22/2017,"36.44","36.68","36.28","36.41","76,425,156"
06/21/2017,"36.38","36.52","36.15","36.47","85,063,000"
06/20/2017,"36.72","36.72","36.24","36.25","99,600,280"
06/19/2017,"35.92","36.69","35.92","36.59","130,165,600"
06/16/2017,"35.95","36.13","35.55","35.57","201,444,360"
06/15/2017,"35.83","36.12","35.55","36.07","128,661,476"
06/14/2017,"36.88","36.88","35.96","36.29","126,124,920"
06/13/2017,"36.79","36.86","36.29","36.65","136,661,796"
06/12/2017,"36.44","36.52","35.63","36.36","289,229,312"
06/09/2017,"38.80","38.80","36.51","37.25","259,530,640"
06/08/2017,"38.81","38.89","38.60","38.75","85,003,204"
06/07/2017,"38.76","39.00","38.62","38.84","84,278,600"
06/06/2017,"38.48","38.95","38.45","38.61","106,499,720"
06/05/2017,"38.59","38.61","38.37","38.48","101,326,640"
06/02/2017,"38.40","38.86","38.22","38.86","111,082,884"
06/01/2017,"38.29","38.33","38.06","38.30","65,616,360"
05/31/2017,"38.49","38.54","38.10","38.19","97,804,640"
05/30/2017,"38.36","38.61","38.33","38.42","80,507,400"
05/26/2017,"38.50","38.56","38.33","38.40","87,710,564"
05/25/2017,"38.43","38.59","38.26","38.47","76,942,400"
05/24/2017,"38.46","38.54","38.17","38.34","76,876,600"
05/23/2017,"38.73","38.73","38.33","38.45","79,675,476"
05/22/2017,"38.50","38.65","38.23","38.50","91,865,756"
05/19/2017,"38.35","38.50","38.16","38.27","107,843,156"
05/18/2017,"37.82","38.34","37.78","38.14","134,272,876"
05/17/2017,"38.40","38.64","37.43","37.56","203,070,720"
05/16/2017,"38.99","39.02","38.68","38.87","80,193,920"
05/15/2017,"39.00","39.16","38.76","38.93","104,038,884"
05/12/2017,"38.68","39.11","38.67","39.03","130,108,080"
05/11/2017,"38.11","38.52","38.08","38.49","109,020,244"
05/10/2017,"38.41","38.49","38.03","38.32","103,222,756"
05/09/2017,"38.47","38.72","38.36","38.50","156,521,436"
05/08/2017,"37.26","38.43","37.26","38.25","195,009,624"
05/05/2017,"36.69","37.25","36.69","37.24","109,310,920"
05/04/2017,"36.63","36.79","36.45","36.63","93,487,476"
